driver_number,name_acronym,team_name,team_colour,team_order,driver_order,team_acronym
1,VER,Red Bull Racing,3671C6,1,1,RBR
11,PER,Red Bull Racing,3671C6,1,2,RBR
16,LEC,Ferrari,F91536,2,3,Fer
55,SAI,Ferrari,F91536,2,4,Fer
4,NOR,McLaren,F58020,3,5,McL
81,PIA,McLaren,F58020,3,6,McL
44,HAM,Mercedes,6CD3BF,4,7,Mer
63,RUS,Mercedes,6CD3BF,4,8,Mer
14,ALO,Aston Martin,358C75,5,9,AM
18,STR,Aston Martin,358C75,5,10,AM
3,RIC,AlphaTauri,5E8FAA,6,11,AT
21,DEV,AlphaTauri,5E8FAA,6,12,AT
22,TSU,AlphaTauri,5E8FAA,6,13,AT
40,LAW,AlphaTauri,5E8FAA,6,14,AT
20,MAG,Haas F1 Team,B6BABD,7,15,Haas
27,HUL,Haas F1 Team,B6BABD,7,16,Haas
24,ZHO,Alfa Romeo,C92D4B,8,17,AR
77,BOT,Alfa Romeo,C92D4B,8,18,AR
2,SAR,Williams,37BEDD,9,19,Will
23,ALB,Williams,37BEDD,9,20,Will
10,GAS,Alpine,2293D1,10,21,Alp
31,OCO,Alpine,2293D1,10,22,Alp
