driver_number,name_acronym,team_name,team_colour
1,VER,Red Bull Racing,3671c6
2,SAR,Williams,64c4ff
3,RIC,RB,6692ff
4,NOR,McLaren,ff8000
10,GAS,Alpine,ff87bc
11,PER,Red Bull Racing,3671c6
14,ALO,Aston Martin,229971
16,LEC,Ferrari,e8002d
18,STR,Aston Martin,229971
20,MAG,Haas F1 Team,b6babd
22,TSU,RB,6692ff
23,ALB,Williams,64c4ff
24,ZHO,Kick Sauber,00e673
27,HUL,Haas F1 Team,b6babd
31,OCO,Alpine,ff87bc
44,HAM,Mercedes,27f4d2
55,SAI,Ferrari,e8002d
63,RUS,Mercedes,27f4d2
77,BOT,Kick Sauber,b6babd
81,PIA,McLaren,ff8000
38,BEA,Ferrari,e8002d
