gp,circuit_length,circuit_location,start_line,before_start_line,after_start_line,corners
Bahrain Grand Prix,5412,Sakhir,"(-371.4, 1462.6)","(-400, 873)","(-330, 2433)","[703.535, 803.115, 918.182, 1498.528, 1763.419, 1879.014, 1964.726, 2211.163, 2593.469, 2664.102, 3438.144, 3849.535, 4064.904, 4863.036, 4944.872]"
Saudi Arabian Grand Prix,6174,Jeddah,"(-1323.900, 306.545)","(-1000, -650)","(-1800, 1605)","[484.591, 539.277, 675.599, 983.231, 1103.222, 1241.608, 1349.559, 1429.014, 1575.773, 1697.442, 1801.901, 1889.562, 2407.909, 2745.139, 2938.685, 3075.115, 3177.21, 3400.67, 3583.359, 3800.224, 4009.962, 4253.877, 4329.941, 4497.866, 4787.599, 5138.009, 5517.826]"
Australian Grand Prix,5278,Melbourne,"(-886.207, -1638.956)","(-800, -1700)","(-1200, -1300)","[345.463, 428.546, 1073.403, 1234.18, 1435.357, 1857.307, 1961.178, 2164.493, 3270.661, 3385.826, 4088.326, 4360.612, 4597.505, 4759.691]"
Azerbaijan Grand Prix,6003,Baku,"(1146.592, -557.524)","(1050, -600)","(1430, -440)","[289.801, 623.769, 1487.377, 1714.507, 2052.165, 2106.977, 2492.436, 2694.353, 2716.86, 2739.929, 2787.949, 2848.499, 3234.32, 3480.865, 3694.874, 4060.323, 4247.599, 4481.473, 4645.292, 4964.439]"
Miami Grand Prix,5412,Miami,"(1900.388, 88.539)","(1600, 270)","(2800, -480)","[369.109, 464.528, 568.837, 1127.843, 1261.1, 1414.205, 1538.408, 1639.126, 2151.866, 2448.155, 3073.095, 3186.33, 3324.644, 3396.083, 3411.359, 3507.567, 4817.927, 4984.119, 5179.192]"
Monaco Grand Prix,3337,Monaco,"(-7668.05, -6521.784)","(-7500, -7800)","(-7600, -5500)","[181.219, 577.225, 746.498, 868.024, 1093.232, 1213.323, 1295.857, 1389.901, 1730.473, 2048.153, 2101.626, 2325.846, 2481.293, 2481.293, 2642.197, 2664.972, 2731.172, 2854.388, 2949.512]"
Spanish Grand Prix,4657,Barcelona,"(1373.851, -254.121)","(2600, 1620)","(-1000, -3930)","[816.352, 890.675, 1158.514, 1720.363, 2164.688, 2356.279, 2523.233, 2618.822, 2887.216, 3471.901, 3628.383, 3740.822, 4008.537, 4325.274]"
Canadian Grand Prix,4361,Montréal,"(3368.501, 810.309)","(2500, 4270)","(3350, -330)","[219.296, 317.317, 696.506, 753.34, 996.052, 1195.607, 1299.915, 1984.118, 2063.852, 2657.996, 2768.152, 3146.982, 3855.183, 3893.208]"
Austrian Grand Prix,4318,Spielberg,"(1034.416, -1226.543)","(2980, -700)","(-1800, -2000)","[436.676, 1073.428, 1369.115, 2180.09, 2343.511, 2703.616, 3022.487, 3198.441, 3765.024, 3944.598]"
British Grand Prix,5891,Silverstone,"(-1709.913, 1271.834)","(-2220, 480)","(-90, 3520)","[455.49, 614.669, 862.619, 1026.671, 1221.648, 1953.79, 2169.897, 2513.006, 3047.371, 3596.243, 3683.364, 3828.027, 3976.815, 4119.478, 4987.395, 5429.392, 5522.295, 5676.141]"
